,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
0,2000-01-03,1.9176888114065127,1.7915106117353308,1.9538518794194264,1.7953209057925683,1.7953209057925683,1.9538518794194264,6.75,7.0,0.05,0.2
1,2000-01-04,1.907849616559636,1.848151848151848,1.946880636934752,1.8064758094761848,1.8064758094761848,1.946880636934752,6.75,7.0,0.05,0.2
2,2000-01-05,1.8389228275776088,1.82942057942058,2.0641631434966423,1.793862116382274,1.793862116382274,2.0641631434966423,6.75,7.0,0.05,0.2
3,2000-01-06,1.8080927738637071,1.8070787637088728,1.9139945314441962,1.7444041515568338,1.7444041515568338,1.9139945314441962,6.75,7.0,0.05,0.2
4,2000-01-07,1.847481835682792,1.817273465309436,1.8461061123177165,1.7213319979969957,1.7213319979969957,1.8461061123177165,6.75,7.0,0.05,0.2
5,2000-01-10,1.883508422950208,1.7962583131331966,1.8988520012410801,1.7125420351226803,1.7125420351226803,1.8988520012410801,6.75,7.0,0.05,0.2
6,2000-01-11,1.8934690836851251,1.834006838669568,1.9217655446035584,1.7442222637513236,1.7442222637513236,1.9217655446035584,6.75,7.0,0.05,0.2
7,2000-01-12,1.9048209964633616,1.783938339134759,1.9150914161760149,1.712755356253114,1.712755356253114,1.9150914161760149,6.75,7.0,0.05,0.2
8,2000-01-13,1.8762016994355888,1.8386235169886327,1.8978328173374608,1.8043802887008464,1.8043802887008464,1.8978328173374608,6.75,7.0,0.05,0.2
9,2000-01-14,1.8715914724838871,1.8554142103630158,1.8923933209647497,1.8225926847474496,1.8225926847474496,1.8923933209647497,6.75,7.0,0.05,0.2
10,2000-01-17,1.8636616927744407,1.8458870168483643,2.108582735592382,1.709986320109439,1.709986320109439,2.108582735592382,6.75,7.0,0.05,0.2
11,2000-01-18,1.7949035898071797,1.8404907975460123,1.8649100018556317,1.764303907560415,1.764303907560415,1.8649100018556317,6.75,7.0,0.05,0.2
12,2000-01-19,1.7530818311342378,1.810291382517049,1.8438312090087856,1.6461672257423283,1.6461672257423283,1.8438312090087856,6.75,7.0,0.05,0.2
13,2000-01-20,1.8310471106697288,1.7226422109307225,1.8913406267383648,1.6792089060264943,1.6792089060264943,1.8913406267383648,6.75,7.0,0.05,0.2
14,2000-01-21,1.8313881301216788,1.7638655984100364,1.9191481458552595,1.7438963627304434,1.7438963627304434,1.9191481458552595,6.75,7.0,0.05,0.2
15,2000-01-24,1.892294329321256,1.889372280919826,1.9371209308082684,1.803034071126585,1.803034071126585,1.9371209308082684,6.75,7.0,0.05,0.2
16,2000-01-25,1.9162790697674417,1.86219739292365,1.942227995299066,1.8224793182807741,1.8224793182807741,1.942227995299066,6.75,7.0,0.05,0.2
17,2000-01-26,1.8793028592693664,1.8611576400521124,1.9107098689092257,1.8028098968046748,1.8028098968046748,1.9107098689092257,6.75,7.0,0.05,0.2
18,2000-01-27,1.8779051750852185,1.8605805011163483,1.961269566293386,1.773049645390071,1.773049645390071,1.961269566293386,6.75,7.0,0.05,0.2
19,2000-01-28,2.038279890628884,1.8803524885193,2.079593984031689,1.8378917201420475,1.8378917201420475,2.079593984031689,6.75,7.0,0.05,0.2
20,2000-01-31,2.0608928460245317,1.9774889621292209,2.0771329365079367,1.920319221896627,1.920319221896627,2.0771329365079367,6.75,7.0,0.05,0.2
21,2000-02-01,2.0498167588048943,2.0154267230654392,2.089145124294836,1.8829104058856536,1.8829104058856536,2.089145124294836,6.75,7.0,0.05,0.2
22,2000-02-02,1.973684210526316,1.9776119402985075,2.0490281044942433,1.898655378486056,1.898655378486056,2.0490281044942433,6.75,7.0,0.05,0.2
23,2000-02-03,2.016304686041446,1.9187779433681071,2.062302594909271,1.9033949076385421,1.9033949076385421,2.062302594909271,6.75,7.0,0.05,0.2
24,2000-02-04,1.9919078742608156,1.9599303135888504,2.047146401985112,1.9654333312535095,1.9654333312535095,2.047146401985112,6.75,7.0,0.05,0.2
25,2000-02-07,2.016179215930305,2.018188613429675,2.0503261882572232,1.877377908064617,1.877377908064617,2.0503261882572232,6.75,7.0,0.05,0.2
26,2000-02-08,2.021269979476336,1.942714819427148,2.048671467593742,1.9472008987081069,1.9472008987081069,2.048671467593742,6.75,7.0,0.05,0.2
27,2000-02-09,2.0203904015914462,1.941143532632365,2.0330998574350714,1.9065420560747663,1.9065420560747663,2.0330998574350714,6.75,7.0,0.05,0.2
28,2000-02-10,2.0048564846522634,1.9576160586663351,2.034360850958258,1.9664148823272365,1.9664148823272365,2.034360850958258,6.75,7.0,0.05,0.2
29,2000-02-11,2.004981320049813,1.9434408870063535,2.0392937080328277,1.9362898188632105,1.9362898188632105,2.0392937080328277,6.75,7.0,0.05,0.2
30,2000-02-14,2.0121913292280897,1.9795179218184094,2.0389795791695122,1.8733608092918697,1.8733608092918697,2.0389795791695122,6.75,7.0,0.05,0.2
31,2000-02-15,1.9988791331963385,2.003359671498787,2.0433513446369793,1.9722881038571964,1.9722881038571964,2.0433513446369793,6.75,7.0,0.05,0.2
32,2000-02-16,2.007105902885994,1.9623722900573135,2.0460199004975124,1.9677661169415293,1.9677661169415293,2.0460199004975124,6.75,7.0,0.05,0.2
33,2000-02-17,2.025679381700324,2.014092411298872,2.0423365820348875,1.8808973317502968,1.8808973317502968,2.0423365820348875,6.75,7.0,0.05,0.2
34,2000-02-18,2.0,1.9453797231575007,2.066347171220514,1.944357611753673,1.944357611753673,2.066347171220514,6.75,7.0,0.05,0.2
35,2000-02-21,2.002620250795433,1.9911366331689653,2.067634053683752,1.9496344435418358,1.9496344435418358,2.067634053683752,6.75,7.0,0.05,0.2
36,2000-02-22,2.057945784630689,1.9722881038571964,2.054752001986467,1.9294411489228849,1.9294411489228849,2.054752001986467,6.75,7.0,0.05,0.2
37,2000-02-23,2.0976850989883946,1.9788425637834477,2.137943855735267,1.9617612256336798,1.9617612256336798,2.137943855735267,6.75,7.0,0.05,0.2
38,2000-02-24,2.0565392979186083,2.0358761094904096,2.1566683192860685,1.9794584500466852,1.9794584500466852,2.1566683192860685,6.75,7.0,0.05,0.2
