,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate,ask_rate,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
0,2000-01-03,3.08,2.87,3.15,2.87,2.87,3.15,6.75,7.0,6.75,7.0,0.1,0.25
1,2000-01-04,3.06,2.96,3.13,2.89,2.89,3.13,6.75,7.0,6.75,7.0,0.1,0.25
2,2000-01-05,2.95,2.93,3.32,2.87,2.87,3.32,6.75,7.0,6.75,7.0,0.1,0.25
3,2000-01-06,2.9,2.9,3.08,2.79,2.79,3.08,6.75,7.0,6.75,7.0,0.1,0.25
4,2000-01-07,2.975,2.91,2.975,2.75,2.75,2.975,6.75,7.0,6.75,7.0,0.1,0.25
5,2000-01-10,3.03,2.89,3.06,2.75,2.75,3.06,6.75,7.0,6.75,7.0,0.1,0.25
6,2000-01-11,3.05,2.95,3.1,2.8,2.8,3.1,6.75,7.0,6.75,7.0,0.1,0.25
7,2000-01-12,3.07,2.87,3.09,2.75,2.75,3.09,6.75,7.0,6.75,7.0,0.1,0.25
8,2000-01-13,3.025,2.96,3.065,2.9,2.9,3.065,6.75,7.0,6.75,7.0,0.1,0.25
9,2000-01-14,3.02,2.99,3.06,2.93,2.93,3.06,6.75,7.0,6.75,7.0,0.1,0.25
10,2000-01-17,3.01,2.98,3.41,2.75,2.75,3.41,6.75,7.0,6.75,7.0,0.1,0.25
11,2000-01-18,2.895,2.97,3.015,2.84,2.84,3.015,6.75,7.0,6.75,7.0,0.1,0.25
12,2000-01-19,2.83,2.92,2.98,2.65,2.65,2.98,6.75,7.0,6.75,7.0,0.1,0.25
13,2000-01-20,2.95,2.78,3.06,2.7,2.7,3.06,6.75,7.0,6.75,7.0,0.1,0.25
14,2000-01-21,2.95,2.84,3.1,2.8,2.8,3.1,6.75,7.0,6.75,7.0,0.1,0.25
15,2000-01-24,3.05,3.04,3.13,2.9,2.9,3.13,6.75,7.0,6.75,7.0,0.1,0.25
16,2000-01-25,3.09,3.0,3.14,2.93,2.93,3.14,6.75,7.0,6.75,7.0,0.1,0.25
17,2000-01-26,3.03,3.0,3.09,2.9,2.9,3.09,6.75,7.0,6.75,7.0,0.1,0.25
18,2000-01-27,3.03,3.0,3.17,2.85,2.85,3.17,6.75,7.0,6.75,7.0,0.1,0.25
19,2000-01-28,3.28,3.03,3.36,2.95,2.95,3.36,6.75,7.0,6.75,7.0,0.1,0.25
20,2000-01-31,3.31,3.18,3.35,3.08,3.08,3.35,6.75,7.0,6.75,7.0,0.1,0.25
21,2000-02-01,3.3,3.24,3.37,3.02,3.02,3.37,6.75,7.0,6.75,7.0,0.1,0.25
22,2000-02-02,3.18,3.18,3.31,3.05,3.05,3.31,6.75,7.0,6.75,7.0,0.1,0.25
23,2000-02-03,3.24,3.09,3.33,3.05,3.05,3.33,6.75,7.0,6.75,7.0,0.1,0.25
24,2000-02-04,3.2,3.15,3.3,3.15,3.15,3.3,6.75,7.0,6.75,7.0,0.1,0.25
25,2000-02-07,3.24,3.24,3.3,3.01,3.01,3.3,6.75,7.0,6.75,7.0,0.1,0.25
26,2000-02-08,3.25,3.12,3.3,3.12,3.12,3.3,6.75,7.0,6.75,7.0,0.1,0.25
27,2000-02-09,3.25,3.12,3.28,3.06,3.06,3.28,6.75,7.0,6.75,7.0,0.1,0.25
28,2000-02-10,3.22,3.15,3.28,3.15,3.15,3.28,6.75,7.0,6.75,7.0,0.1,0.25
29,2000-02-11,3.22,3.12,3.28,3.1,3.1,3.28,6.75,7.0,6.75,7.0,0.1,0.25
30,2000-02-14,3.235,3.17,3.285,3.0,3.0,3.285,6.75,7.0,6.75,7.0,0.1,0.25
31,2000-02-15,3.21,3.22,3.29,3.16,3.16,3.29,6.75,7.0,6.75,7.0,0.1,0.25
32,2000-02-16,3.22,3.15,3.29,3.15,3.15,3.29,6.75,7.0,6.75,7.0,0.1,0.25
33,2000-02-17,3.25,3.23,3.29,3.01,3.01,3.29,6.75,7.0,6.75,7.0,0.1,0.25
34,2000-02-18,3.21,3.12,3.32,3.11,3.11,3.32,6.75,7.0,6.75,7.0,0.1,0.25
35,2000-02-21,3.21,3.19,3.32,3.12,3.12,3.32,6.75,7.0,6.75,7.0,0.1,0.25
36,2000-02-22,3.31,3.16,3.31,3.09,3.09,3.31,6.75,7.0,6.75,7.0,0.1,0.25
37,2000-02-23,3.38,3.18,3.45,3.15,3.15,3.45,6.75,7.0,6.75,7.0,0.1,0.25
38,2000-02-24,3.31,3.28,3.48,3.18,3.18,3.48,6.75,7.0,6.75,7.0,0.1,0.25
39,2000-02-25,3.39,3.25,3.43,3.19,3.19,3.43,6.75,7.0,6.75,7.0,0.1,0.25
40,2000-02-28,3.36,3.29,3.43,3.18,3.18,3.43,6.75,7.0,6.75,7.0,0.1,0.25
