,Date,Dernier,Ouv.,Plus Haut,Plus Bas,bid,ask,bid_rate_local,ask_rate_local,bid_rate_foreign,ask_rate_foreign
0,2000-10-03,1.4356,1.4316,1.4959,1.413,1.413,1.4959,6.75,7.0,0.25,0.35
1,2000-10-04,1.4367,1.4329,1.494,1.4207,1.4207,1.494,6.75,7.0,0.25,0.35
2,2000-10-05,1.4419,1.4340000000000002,1.4506,1.4146,1.4146,1.4506,6.75,7.0,0.25,0.35
3,2000-10-06,1.4476,1.4451,1.4524,1.422,1.422,1.4524,6.75,7.0,0.25,0.35
4,2000-10-09,1.4475,1.4398,1.4519,1.4282,1.4282,1.4519,6.75,7.0,0.25,0.35
5,2000-10-10,1.4405,1.4466,1.4517,1.431,1.431,1.4517,6.75,7.0,0.25,0.35
6,2000-10-11,1.4421,1.4411,1.5124,1.3746,1.3746,1.5124,6.75,7.0,0.25,0.35
7,2000-10-12,1.4482,1.431,1.4537,1.431,1.431,1.4537,6.75,7.0,0.25,0.35
8,2000-10-13,1.4594,1.4461,1.47,1.4355,1.4355,1.47,6.75,7.0,0.25,0.35
9,2000-10-16,1.466,1.4556,1.4735,1.4466,1.4466,1.4735,6.75,7.0,0.25,0.35
10,2000-10-17,1.4592,1.4637,1.4707,1.4505,1.4505,1.4707,6.75,7.0,0.25,0.35
11,2000-10-18,1.4789,1.4585,1.4987,1.431,1.431,1.4987,6.75,7.0,0.25,0.35
12,2000-10-19,1.4741,1.4776,1.4884,1.4623,1.4623,1.4884,6.75,7.0,0.25,0.35
13,2000-10-20,1.4780000000000002,1.4715,1.4909,1.431,1.431,1.4909,6.75,7.0,0.25,0.35
14,2000-10-23,1.485,1.472,1.4878,1.431,1.431,1.4878,6.75,7.0,0.25,0.35
15,2000-10-24,1.4868,1.4829,1.4923,1.4669999999999999,1.4669999999999999,1.4923,6.75,7.0,0.25,0.35
16,2000-10-25,1.4976,1.4834,1.5032,1.4691,1.4691,1.5032,6.75,7.0,0.25,0.35
17,2000-10-26,1.4909,1.4955,1.5076,1.4802,1.4802,1.5076,6.75,7.0,0.25,0.35
18,2000-10-27,1.4808,1.4879,1.501,1.4666,1.4666,1.501,6.75,7.0,0.25,0.35
19,2000-10-30,1.4895,1.4744,1.492,1.4,1.4,1.492,6.75,7.0,0.25,0.35
20,2000-10-31,1.4682,1.4867,1.4909,1.4607,1.4607,1.4909,6.75,7.0,0.25,0.35
21,2000-11-01,1.4518,1.4673,1.4822,1.4433,1.4433,1.4822,6.75,7.0,0.25,0.35
22,2000-11-02,1.4541,1.4553,1.4699,1.4388,1.4388,1.4699,6.75,7.0,0.25,0.35
23,2000-11-03,1.4569,1.4598,1.4756,1.4291,1.4291,1.4756,6.75,7.0,0.25,0.35
24,2000-11-06,1.4589,1.455,1.4694,1.4380000000000002,1.4380000000000002,1.4694,6.75,7.0,0.25,0.35
25,2000-11-07,1.4599,1.4577,1.4658,1.4426,1.4426,1.4658,6.75,7.0,0.25,0.35
26,2000-11-08,1.4587,1.4594,1.4766,1.4454,1.4454,1.4766,6.75,7.0,0.25,0.35
27,2000-11-09,1.4567,1.4562,1.4776,1.4346,1.4346,1.4776,6.75,7.0,0.25,0.35
28,2000-11-10,1.4681,1.4517,1.4696,1.4325,1.4325,1.4696,6.75,7.0,0.25,0.35
29,2000-11-13,1.4636,1.4509999999999998,1.4669999999999999,1.4101,1.4101,1.4669999999999999,6.75,7.0,0.25,0.35
30,2000-11-14,1.4598,1.4613,1.4743,1.4472,1.4472,1.4743,6.75,7.0,0.25,0.35
31,2000-11-15,1.465,1.4635,1.4734,1.4436,1.4436,1.4734,6.75,7.0,0.25,0.35
32,2000-11-16,1.4761,1.4654,1.4772,1.4505,1.4505,1.4772,6.75,7.0,0.25,0.35
33,2000-11-17,1.4758,1.4663,1.4829,1.4535,1.4535,1.4829,6.75,7.0,0.25,0.35
34,2000-11-20,1.4717,1.4729,1.4847,1.4592,1.4592,1.4847,6.75,7.0,0.25,0.35
35,2000-11-21,1.4756,1.4692,1.4902,1.4580000000000002,1.4580000000000002,1.4902,6.75,7.0,0.25,0.35
36,2000-11-22,1.4858,1.4818,1.4893,1.4627,1.4627,1.4893,6.75,7.0,0.25,0.35
37,2000-11-23,1.484,1.4805,1.4951,1.4669999999999999,1.4669999999999999,1.4951,6.75,7.0,0.25,0.35
38,2000-11-24,1.4882,1.4819,1.4937,1.4709999999999999,1.4709999999999999,1.4937,6.75,7.0,0.25,0.35
39,2000-11-27,1.469,1.4877,1.4905,1.4593,1.4593,1.4905,6.75,7.0,0.25,0.35
40,2000-11-28,1.4666,1.464,1.4859,1.4569999999999999,1.4569999999999999,1.4859,6.75,7.0,0.25,0.35
41,2000-11-29,1.465,1.4651,1.4731,1.4398,1.4398,1.4731,6.75,7.0,0.25,0.35
42,2000-11-30,1.45,1.464,1.4697,1.4397,1.4397,1.4697,6.75,7.0,0.25,0.35
43,2000-12-01,1.4423,1.445,1.4643,1.4293,1.4293,1.4643,6.75,7.0,0.25,0.35
44,2000-12-04,1.4327,1.4412,1.4526,1.41,1.41,1.4526,6.75,7.0,0.25,0.35
45,2000-12-05,1.4556,1.4332,1.4581,1.4201,1.4201,1.4581,6.75,7.0,0.25,0.35
46,2000-12-06,1.4301,1.4445,1.4602,1.412,1.412,1.4602,6.75,7.0,0.25,0.35
47,2000-12-07,1.435,1.4176,1.4471,1.4117,1.4117,1.4471,6.75,7.0,0.25,0.35
48,2000-12-08,1.4411,1.4313,1.4508,1.4208,1.4208,1.4508,6.75,7.0,0.25,0.35
49,2000-12-11,1.4504,1.4396,1.4524,1.4245,1.4245,1.4524,6.75,7.0,0.25,0.35
50,2000-12-12,1.4438,1.4422,1.4592,1.4276,1.4276,1.4592,6.75,7.0,0.25,0.35
51,2000-12-13,1.4358,1.442,1.4672,1.423,1.423,1.4672,6.75,7.0,0.25,0.35
52,2000-12-14,1.4244,1.4366,1.4480000000000002,1.4188,1.4188,1.4480000000000002,6.75,7.0,0.25,0.35
53,2000-12-15,1.4253,1.4182,1.4321,1.4078,1.4078,1.4321,6.75,7.0,0.25,0.35
54,2000-12-18,1.4293,1.415,1.432,1.4041,1.4041,1.432,6.75,7.0,0.25,0.35
55,2000-12-19,1.49,1.4262,1.5068,1.4125,1.4125,1.5068,6.75,7.0,0.25,0.35
56,2000-12-20,1.4047,1.4197,1.4280000000000002,1.3905,1.3905,1.4280000000000002,6.75,7.0,0.25,0.35
57,2000-12-21,1.4053,1.4026,1.4257,1.3731,1.3731,1.4257,6.75,7.0,0.25,0.35
58,2000-12-22,1.3984,1.3808,1.4102,1.3617,1.3617,1.4102,6.75,7.0,0.25,0.35
59,2000-12-25,1.392,1.3967,1.4065,1.3817,1.3817,1.4065,6.75,7.0,0.25,0.35
60,2000-12-26,1.3874,1.3929,1.3998,1.3666,1.3666,1.3998,6.75,7.0,0.25,0.35
61,2000-12-27,1.3888,1.386,1.3936,1.3762,1.3762,1.3936,6.75,7.0,0.25,0.35
62,2000-12-28,1.3906,1.3875,1.3984,1.38,1.38,1.3984,6.75,7.0,0.25,0.35
63,2000-12-29,1.3755,1.3892,1.3929,1.3636,1.3636,1.3929,6.75,7.0,0.25,0.35
64,2001-01-02,1.3357,1.3634,1.3803,1.3312,1.3312,1.3803,6.75,7.0,0.25,0.35
65,2001-01-03,1.382,1.3443,1.3862,1.3238,1.3238,1.3862,6.75,7.0,0.25,0.35
66,2001-01-04,1.3544,1.3824,1.403,1.33,1.33,1.403,6.75,7.0,0.25,0.35
67,2001-01-05,1.3644,1.3559,1.3778,1.3206,1.3206,1.3778,6.75,7.0,0.25,0.35
68,2001-01-08,1.3585,1.3530000000000002,1.3707,1.321,1.321,1.3707,6.75,7.0,0.25,0.35
69,2001-01-09,1.3673,1.3563,1.3774,1.3365,1.3365,1.3774,6.75,7.0,0.25,0.35
70,2001-01-10,1.3805,1.3682,1.3813,1.355,1.355,1.3813,6.75,7.0,0.25,0.35
71,2001-01-11,1.3657,1.3784,1.3831,1.3352,1.3352,1.3831,6.75,7.0,0.25,0.35
72,2001-01-12,1.3584,1.3615,1.375,1.347,1.347,1.375,6.75,7.0,0.25,0.35
73,2001-01-15,1.375,1.3730000000000002,1.3769,1.3589,1.3589,1.3769,6.75,7.0,0.25,0.35
74,2001-01-16,1.3735,1.374,1.4003,1.3607,1.3607,1.4003,6.75,7.0,0.25,0.35
75,2001-01-17,1.3785,1.3706,1.3894,1.3599,1.3599,1.3894,6.75,7.0,0.25,0.35
76,2001-01-18,1.3737,1.3757,1.3939,1.3607,1.3607,1.3939,6.75,7.0,0.25,0.35
77,2001-01-19,1.3780000000000001,1.3706,1.3857,1.3535,1.3535,1.3857,6.75,7.0,0.25,0.35
78,2001-01-22,1.3675,1.3794,1.3998,1.361,1.361,1.3998,6.75,7.0,0.25,0.35
79,2001-01-23,1.3748,1.3661,1.3771,1.3559999999999999,1.3559999999999999,1.3771,6.75,7.0,0.25,0.35
80,2001-01-24,1.389,1.3739,1.4,1.3630000000000002,1.3630000000000002,1.4,6.75,7.0,0.25,0.35
81,2001-01-25,1.3797,1.3859,1.4048,1.3754,1.3754,1.4048,6.75,7.0,0.25,0.35
82,2001-01-26,1.3854,1.3788,1.3949,1.3688,1.3688,1.3949,6.75,7.0,0.25,0.35
83,2001-01-29,1.3999,1.3869999999999998,1.4011,1.3748,1.3748,1.4011,6.75,7.0,0.25,0.35
84,2001-01-30,1.3794,1.3909,1.4023,1.3712,1.3712,1.4023,6.75,7.0,0.25,0.35
85,2001-01-31,1.3703,1.3782,1.4,1.3652,1.3652,1.4,6.75,7.0,0.25,0.35
86,2001-02-01,1.3672,1.3688,1.3769999999999998,1.354,1.354,1.3769999999999998,6.75,7.0,0.25,0.35
87,2001-02-02,1.3718,1.3664,1.3840000000000001,1.3568,1.3568,1.3840000000000001,6.75,7.0,0.25,0.35
88,2001-02-05,1.3715,1.3742,1.3804,1.3545,1.3545,1.3804,6.75,7.0,0.25,0.35
89,2001-02-06,1.3783,1.3691,1.3872,1.3597,1.3597,1.3872,6.75,7.0,0.25,0.35
90,2001-02-07,1.3816,1.3771,1.3915,1.3637,1.3637,1.3915,6.75,7.0,0.25,0.35
91,2001-02-08,1.3912,1.3855,1.4047,1.3671,1.3671,1.4047,6.75,7.0,0.25,0.35
92,2001-02-09,1.3833,1.3887,1.4073,1.3694,1.3694,1.4073,6.75,7.0,0.25,0.35
93,2001-02-12,1.3780000000000001,1.3747,1.3931,1.3624,1.3624,1.3931,6.75,7.0,0.25,0.35
94,2001-02-13,1.3889,1.3719,1.3957,1.3635,1.3635,1.3957,6.75,7.0,0.25,0.35
95,2001-02-14,1.3899,1.3869,1.3997,1.3752,1.3752,1.3997,6.75,7.0,0.25,0.35
96,2001-02-15,1.4031,1.389,1.4096,1.3737,1.3737,1.4096,6.75,7.0,0.25,0.35
97,2001-02-16,1.3940000000000001,1.4004,1.413,1.3702,1.3702,1.413,6.75,7.0,0.25,0.35
98,2001-02-19,1.3863,1.3924,1.396,1.3638,1.3638,1.396,6.75,7.0,0.25,0.35
99,2001-02-20,1.3944,1.3855,1.4049,1.3706,1.3706,1.4049,6.75,7.0,0.25,0.35
100,2001-02-21,1.3968,1.396,1.4069999999999998,1.3753,1.3753,1.4069999999999998,6.75,7.0,0.25,0.35
101,2001-02-22,1.4021,1.3949,1.4108,1.3862,1.3862,1.4108,6.75,7.0,0.25,0.35
102,2001-02-23,1.3882,1.4009,1.4081,1.3741,1.3741,1.4081,6.75,7.0,0.25,0.35
103,2001-02-26,1.3988,1.3833,1.4107,1.3711,1.3711,1.4107,6.75,7.0,0.25,0.35
104,2001-02-27,1.3951,1.3971,1.4042,1.3708,1.3708,1.4042,6.75,7.0,0.25,0.35
105,2001-02-28,1.3892,1.3918,1.4003,1.3675,1.3675,1.4003,6.75,7.0,0.25,0.35
106,2001-03-01,1.3766,1.3878,1.3914,1.3605,1.3605,1.3914,6.75,7.0,0.25,0.35
107,2001-03-02,1.3687,1.3761,1.3887,1.3447,1.3447,1.3887,6.75,7.0,0.25,0.35
108,2001-03-05,1.3701,1.3645,1.3869999999999998,1.3539,1.3539,1.3869999999999998,6.75,7.0,0.25,0.35
109,2001-03-06,1.3723,1.381,1.3876,1.3536,1.3536,1.3876,6.75,7.0,0.25,0.35
110,2001-03-07,1.382,1.3746,1.3878,1.3617,1.3617,1.3878,6.75,7.0,0.25,0.35
111,2001-03-08,1.3772,1.3787,1.3876,1.367,1.367,1.3876,6.75,7.0,0.25,0.35
112,2001-03-09,1.3780000000000001,1.3769,1.3846,1.3603,1.3603,1.3846,6.75,7.0,0.25,0.35
113,2001-03-12,1.3825,1.3763,1.3869,1.3619999999999999,1.3619999999999999,1.3869,6.75,7.0,0.25,0.35
114,2001-03-13,1.3968,1.3806,1.4049,1.3675,1.3675,1.4049,6.75,7.0,0.25,0.35
115,2001-03-14,1.3977,1.3993,1.4124,1.3726,1.3726,1.4124,6.75,7.0,0.25,0.35
116,2001-03-15,1.4133,1.3963,1.4247,1.3827,1.3827,1.4247,6.75,7.0,0.25,0.35
117,2001-03-16,1.4175,1.4202,1.4456,1.3969,1.3969,1.4456,6.75,7.0,0.25,0.35
118,2001-03-19,1.416,1.4146,1.4237,1.4017,1.4017,1.4237,6.75,7.0,0.25,0.35
119,2001-03-20,1.405,1.4132,1.4194,1.3931,1.3931,1.4194,6.75,7.0,0.25,0.35
120,2001-03-21,1.4203,1.4029,1.4243,1.385,1.385,1.4243,6.75,7.0,0.25,0.35
121,2001-03-22,1.4281,1.4164,1.4392,1.4061,1.4061,1.4392,6.75,7.0,0.25,0.35
122,2001-03-23,1.4293,1.4281,1.4372,1.4076,1.4076,1.4372,6.75,7.0,0.25,0.35
123,2001-03-26,1.42,1.4257,1.432,1.3971,1.3971,1.432,6.75,7.0,0.25,0.35
124,2001-03-27,1.4249,1.4233,1.4305,1.4038,1.4038,1.4305,6.75,7.0,0.25,0.35
125,2001-03-28,1.4308,1.422,1.4382,1.4079,1.4079,1.4382,6.75,7.0,0.25,0.35
126,2001-03-29,1.4387,1.4318,1.4474,1.4168,1.4168,1.4474,6.75,7.0,0.25,0.35
127,2001-03-30,1.445,1.4384,1.4524,1.423,1.423,1.4524,6.75,7.0,0.25,0.35
128,2001-04-02,1.449,1.4508,1.4572,1.426,1.426,1.4572,6.75,7.0,0.25,0.35
129,2001-04-03,1.4316,1.4473,1.4509,1.4116,1.4116,1.4509,6.75,7.0,0.25,0.35
130,2001-04-04,1.4112,1.4156,1.4369999999999998,1.4006,1.4006,1.4369999999999998,6.75,7.0,0.25,0.35
131,2001-04-05,1.4257,1.4180000000000001,1.4335,1.3959,1.3959,1.4335,6.75,7.0,0.25,0.35
132,2001-04-06,1.4177,1.4228,1.4341,1.3994,1.3994,1.4341,6.75,7.0,0.25,0.35
133,2001-04-09,1.4184,1.4148,1.4277,1.3882,1.3882,1.4277,6.75,7.0,0.25,0.35
134,2001-04-10,1.4316,1.4252,1.4408,1.4013,1.4013,1.4408,6.75,7.0,0.25,0.35
135,2001-04-11,1.4326,1.4251,1.4486,1.4145,1.4145,1.4486,6.75,7.0,0.25,0.35
136,2001-04-12,1.4368,1.4261,1.4477,1.415,1.415,1.4477,6.75,7.0,0.25,0.35
137,2001-04-13,1.4327,1.4337,1.439,1.4201,1.4201,1.439,6.75,7.0,0.25,0.35
138,2001-04-16,1.4335,1.4325,1.4447,1.4237,1.4237,1.4447,6.75,7.0,0.25,0.35
139,2001-04-17,1.4394,1.4306,1.4488,1.4139,1.4139,1.4488,6.75,7.0,0.25,0.35
140,2001-04-18,1.4454,1.4327,1.4619,1.4198,1.4198,1.4619,6.75,7.0,0.25,0.35
141,2001-04-19,1.4243,1.442,1.4485,1.4107,1.4107,1.4485,6.75,7.0,0.25,0.35
142,2001-04-20,1.4102,1.4214,1.4294,1.3975,1.3975,1.4294,6.75,7.0,0.25,0.35
143,2001-04-23,1.4268,1.4208,1.4308,1.3961,1.3961,1.4308,6.75,7.0,0.25,0.35
144,2001-04-24,1.4225,1.4196,1.4336,1.3956,1.3956,1.4336,6.75,7.0,0.25,0.35
145,2001-04-25,1.4158,1.4194,1.4358,1.3981,1.3981,1.4358,6.75,7.0,0.25,0.35
146,2001-04-26,1.4134,1.4154,1.4301,1.3987,1.3987,1.4301,6.75,7.0,0.25,0.35
147,2001-04-27,1.4286,1.4113,1.439,1.3924,1.3924,1.439,6.75,7.0,0.25,0.35
148,2001-04-30,1.4312,1.4242,1.4421,1.4111,1.4111,1.4421,6.75,7.0,0.25,0.35
149,2001-05-01,1.4246,1.4273,1.4407,1.4137,1.4137,1.4407,6.75,7.0,0.25,0.35
150,2001-05-02,1.4233,1.4207,1.4369,1.4096,1.4096,1.4369,6.75,7.0,0.25,0.35
151,2001-05-03,1.4272,1.4182,1.4367,1.3995,1.3995,1.4367,6.75,7.0,0.25,0.35
152,2001-05-04,1.4231,1.4283,1.4355,1.3979,1.3979,1.4355,6.75,7.0,0.25,0.35
153,2001-05-07,1.4333,1.4231,1.4339,1.4154,1.4154,1.4339,6.75,7.0,0.25,0.35
154,2001-05-08,1.4376,1.4275,1.4425,1.4164,1.4164,1.4425,6.75,7.0,0.25,0.35
155,2001-05-09,1.4398,1.4352,1.4447,1.4205,1.4205,1.4447,6.75,7.0,0.25,0.35
156,2001-05-10,1.445,1.4343,1.4538,1.4203,1.4203,1.4538,6.75,7.0,0.25,0.35
157,2001-05-11,1.4546,1.446,1.4586,1.4242,1.4242,1.4586,6.75,7.0,0.25,0.35
158,2001-05-14,1.4575,1.4527,1.4623,1.4386,1.4386,1.4623,6.75,7.0,0.25,0.35
159,2001-05-15,1.456,1.4556,1.4627,1.4312,1.4312,1.4627,6.75,7.0,0.25,0.35
160,2001-05-16,1.4489,1.4489,1.4613,1.4268,1.4268,1.4613,6.75,7.0,0.25,0.35
161,2001-05-17,1.4449,1.4463,1.4559,1.3987,1.3987,1.4559,6.75,7.0,0.25,0.35
162,2001-05-18,1.4424,1.4432,1.4594,1.4312,1.4312,1.4594,6.75,7.0,0.25,0.35
163,2001-05-21,1.4545,1.4492,1.4594,1.432,1.432,1.4594,6.75,7.0,0.25,0.35
164,2001-05-22,1.4621,1.4484,1.4769999999999999,1.4329,1.4329,1.4769999999999999,6.75,7.0,0.25,0.35
165,2001-05-23,1.4699,1.4558,1.4844,1.4397,1.4397,1.4844,6.75,7.0,0.25,0.35
166,2001-05-24,1.4827,1.4673,1.4954,1.4618,1.4618,1.4954,6.75,7.0,0.25,0.35
167,2001-05-25,1.4821,1.4804,1.4947,1.4586,1.4586,1.4947,6.75,7.0,0.25,0.35
168,2001-05-28,1.4795,1.4798,1.4843,1.4674,1.4674,1.4843,6.75,7.0,0.25,0.35
169,2001-05-29,1.4867,1.4794,1.4918,1.4685,1.4685,1.4918,6.75,7.0,0.25,0.35
170,2001-05-30,1.4845,1.4844,1.4897,1.4551,1.4551,1.4897,6.75,7.0,0.25,0.35
171,2001-05-31,1.4964,1.4841,1.505,1.474,1.474,1.505,6.75,7.0,0.25,0.35
172,2001-06-01,1.4985,1.4996,1.5052,1.4780000000000002,1.4780000000000002,1.5052,6.75,7.0,0.25,0.35
173,2001-06-04,1.5014,1.4981,1.5062,1.4798,1.4798,1.5062,6.75,7.0,0.25,0.35
174,2001-06-05,1.4873,1.5001,1.5096,1.4836,1.4836,1.5096,6.75,7.0,0.25,0.35
175,2001-06-06,1.501,1.486,1.5062,1.4723,1.4723,1.5062,6.75,7.0,0.25,0.35
176,2001-06-07,1.4958,1.4992,1.5042,1.4797,1.4797,1.5042,6.75,7.0,0.25,0.35
177,2001-06-08,1.4962,1.4923,1.5042,1.4783,1.4783,1.5042,6.75,7.0,0.25,0.35
178,2001-06-11,1.5033,1.4949,1.5125,1.4809999999999999,1.4809999999999999,1.5125,6.75,7.0,0.25,0.35
179,2001-06-12,1.4909999999999999,1.5028,1.5119,1.4869999999999999,1.4869999999999999,1.5119,6.75,7.0,0.25,0.35
180,2001-06-13,1.4918,1.4951,1.5019,1.4792,1.4792,1.5019,6.75,7.0,0.25,0.35
181,2001-06-14,1.4935,1.4914,1.5313,1.4705,1.4705,1.5313,6.75,7.0,0.25,0.35
182,2001-06-15,1.4854,1.4722,1.4942,1.4578,1.4578,1.4942,6.75,7.0,0.25,0.35
183,2001-06-18,1.4849,1.4726,1.4933,1.4569999999999999,1.4569999999999999,1.4933,6.75,7.0,0.25,0.35
184,2001-06-19,1.4966,1.4832,1.4977,1.4646,1.4646,1.4977,6.75,7.0,0.25,0.35
185,2001-06-20,1.494,1.4933,1.5014,1.4777,1.4777,1.5014,6.75,7.0,0.25,0.35
186,2001-06-21,1.4937,1.4855,1.5299,1.4736,1.4736,1.5299,6.75,7.0,0.25,0.35
187,2001-06-22,1.4958,1.4936,1.5029,1.4804,1.4804,1.5029,6.75,7.0,0.25,0.35
188,2001-06-25,1.4886,1.4904,1.4924,1.4716,1.4716,1.4924,6.75,7.0,0.25,0.35
189,2001-06-26,1.4834,1.4862,1.4914,1.4638,1.4638,1.4914,6.75,7.0,0.25,0.35
190,2001-06-27,1.489,1.4839,1.4909999999999999,1.465,1.465,1.4909999999999999,6.75,7.0,0.25,0.35
191,2001-06-28,1.5043,1.4853,1.5178,1.4389,1.4389,1.5178,6.75,7.0,0.25,0.35
192,2001-06-29,1.4996,1.5015,1.5175,1.4845,1.4845,1.5175,6.75,7.0,0.25,0.35
193,2001-07-02,1.4992,1.495,1.514,1.4897,1.4897,1.514,6.75,7.0,0.25,0.35
194,2001-07-03,1.4987,1.4971,1.5111,1.4845,1.4845,1.5111,6.75,7.0,0.25,0.35
195,2001-07-04,1.5044,1.4981,1.5093,1.4844,1.4844,1.5093,6.75,7.0,0.25,0.35
196,2001-07-05,1.5137,1.5009,1.5213,1.489,1.489,1.5213,6.75,7.0,0.25,0.35
197,2001-07-06,1.5002,1.5155,1.5278,1.4833,1.4833,1.5278,6.75,7.0,0.25,0.35
198,2001-07-09,1.4969999999999999,1.5045,1.5104,1.4774,1.4774,1.5104,6.75,7.0,0.25,0.35
199,2001-07-11,1.4833,1.4885,1.4965,1.4629,1.4629,1.4965,6.75,7.0,0.25,0.35
